local_path,local_branch,local_basename,local_extension,local_size,local_md5,local_sha1,status,remote_path,remote_branch,remote_extension,remote_size,remote_md5,remote_sha1,same_basename_remote_count,note
"1-Dinas,1848-1879,LR1827/images/1555__M_00001.jpg","1-Dinas,1848-1879,LR1827",1555__M_00001.jpg,.jpg,380910,43df563804d20838e93dcf80b6ccd026,5e8b98f6ae90093d46db4b1eda81059b481f22c1,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00001.jpg","1-Dinas,1848-1879,LR1827",.jpg,380910,43df563804d20838e93dcf80b6ccd026,5e8b98f6ae90093d46db4b1eda81059b481f22c1,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00002.jpg","1-Dinas,1848-1879,LR1827",1555__M_00002.jpg,.jpg,890105,99052c57bf4a3a769f79e35c22f79e82,511f3724135fca440935c6f69e45b7a4731fb92f,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00002.jpg","1-Dinas,1848-1879,LR1827",.jpg,890105,99052c57bf4a3a769f79e35c22f79e82,511f3724135fca440935c6f69e45b7a4731fb92f,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00003.jpg","1-Dinas,1848-1879,LR1827",1555__M_00003.jpg,.jpg,682461,fba61c68cb43738fc8a4958fd8662769,c41d24aa13d8efb72fe87fbebf604b297a972d60,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00003.jpg","1-Dinas,1848-1879,LR1827",.jpg,682461,fba61c68cb43738fc8a4958fd8662769,c41d24aa13d8efb72fe87fbebf604b297a972d60,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00004.jpg","1-Dinas,1848-1879,LR1827",1555__M_00004.jpg,.jpg,537160,53dfada501cb91efeaa5a2c5601ad69d,e94510a99f245653f19865647bac6591b9aa4e8c,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00004.jpg","1-Dinas,1848-1879,LR1827",.jpg,537160,53dfada501cb91efeaa5a2c5601ad69d,e94510a99f245653f19865647bac6591b9aa4e8c,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00005.jpg","1-Dinas,1848-1879,LR1827",1555__M_00005.jpg,.jpg,690868,2cb624324d425843ede04bdbee3e7ad2,09c1f2af5179a6e105cc8e369adf0ced163da573,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00005.jpg","1-Dinas,1848-1879,LR1827",.jpg,690868,2cb624324d425843ede04bdbee3e7ad2,09c1f2af5179a6e105cc8e369adf0ced163da573,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00006.jpg","1-Dinas,1848-1879,LR1827",1555__M_00006.jpg,.jpg,562179,5bdc18135a70226870e434d8ea086f33,907743c8e8ac6f7a8bc3a37364f0b53ac60bb03a,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00006.jpg","1-Dinas,1848-1879,LR1827",.jpg,562179,5bdc18135a70226870e434d8ea086f33,907743c8e8ac6f7a8bc3a37364f0b53ac60bb03a,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00007.jpg","1-Dinas,1848-1879,LR1827",1555__M_00007.jpg,.jpg,800518,e95399a9793c34a826c7274e7ab2e1b9,04d8bc4c2e0686cd367f88b638cca777dd9f2963,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00007.jpg","1-Dinas,1848-1879,LR1827",.jpg,800518,e95399a9793c34a826c7274e7ab2e1b9,04d8bc4c2e0686cd367f88b638cca777dd9f2963,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00008.jpg","1-Dinas,1848-1879,LR1827",1555__M_00008.jpg,.jpg,740105,b47fb342ba4f19de6064fa1b278eb994,3f4322bca89f48c126a6586b681cb94b7c900eeb,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00008.jpg","1-Dinas,1848-1879,LR1827",.jpg,740105,b47fb342ba4f19de6064fa1b278eb994,3f4322bca89f48c126a6586b681cb94b7c900eeb,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00009.jpg","1-Dinas,1848-1879,LR1827",1555__M_00009.jpg,.jpg,713880,39b75f1d58226f6475d84de660d59641,6f91d799101e6352cc9468bb03fcb5e5a312221a,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00009.jpg","1-Dinas,1848-1879,LR1827",.jpg,713880,39b75f1d58226f6475d84de660d59641,6f91d799101e6352cc9468bb03fcb5e5a312221a,1,"Exact relative path, size, MD5, and SHA-1 match."
"1-Dinas,1848-1879,LR1827/images/1555__M_00010.jpg","1-Dinas,1848-1879,LR1827",1555__M_00010.jpg,.jpg,544078,cea178ccad0cb4301dc6a196c8c7bd2c,4fd5c3a95ef252a7c735cdeb4b7190a327a00207,exact_path_checksum_match,"1-Dinas,1848-1879,LR1827/images/1555__M_00010.jpg","1-Dinas,1848-1879,LR1827",.jpg,544078,cea178ccad0cb4301dc6a196c8c7bd2c,4fd5c3a95ef252a7c735cdeb4b7190a327a00207,1,"Exact relative path, size, MD5, and SHA-1 match."
